Last Name,First Name,Author ID,Name
Murphy,Timothy H.,7401632487,Tim H. Murphy
Ciernia,Annie Vogel,55491054000,Annie Ciernia
MacVicar,Brian A.,7006717711,Brian MacVicar
Vila-Rodriguez,Fidel,24279161600,Fidel Vila-Rodriguez
Bamji,Shernaz X.,7005627810,Shernaz Bamji
Boyd,Lara A.,7101895712,Lara Boyd
Pavlidis,Paul,7004159655,Paul Pavlidis
McKeown,Martin,7005375626,Martin McKeown
Stoessl,A. Jon,7004896118,A Jon Stoessl
Cripton,P. A.,6603629883,Peter Cripton
Snyder,Jason S.,28167863900,Jason Snyder
Tetzlaff,Wolfram G.,7006262846,Wolfram Tetzlaff
Phillips,Anthony G.,7401658611,Anthony Phillips
Winstanley,Catharine A.,7005018303,Catharine Winstanley
Wang,YuTian,8908521300,Yu Tian Wang
Seamans,Jeremy Keith,7003907622,Jeremy Seamans
Snutch,Terrance P.,35408131500,Terry Snutch
Mackenzie,Ian,16407421900,Ian Mackenzie
Raymond,Lynn A.,7102737545,Lynn Raymond
Haas,Kurt,55554765000,Kurt Haas
Cembrowski,Mark S.,37036981000,Mark Cembrowski
Rossi,Fabio,7401756510,Fabio Rossi
Roskams,Angela Jane I.,55889287500,Jane Roskams
Rankin,Catharine,7007032941,Catharine Rankin
Gordon,Michael D.,7402800449,Michael Gordon
Sigal,Leonid,7103067039,Leonid Sigal
Wang,Z. Jane,11241026700,Z. Jane Wang
Servati,Peyman,6701751588,Peyman Servati
Galea,Liisa A. M.,7004079043,Liisa Galea
Frangou,Sophia,7004549374,Sophia Frangou
Appel-Cresswell,Silke,36237882900,Silke Cresswell
Rhodin,Helge,55860139200,Helge Rhodin
Madhav,Manu S.,35146488900,Manu Madhav
Fisher,Brian,56363838400,Brian D. Fisher
Swayne,Leigh Anne,7004454250,Leigh Anne Swayne
Brown,Craig E.,7408311558,Craig E. Brown
Fairhall,Adrienne L.,6602928622,Adrienne Fairhall
Shea-Brown,Eric T.,15065850600,Eric Shea-Brown
Sylwestrak,Emily Lauren,26634611400,Emily Sylwestrak
Shih,Andy Y.,9239638800,Andy Shih
Woodward,Todd Stephen,7102848867,Todd Woodward
LeDue,Jeffrey M.,56371437500,Jeffrey LeDue
Hacihaliloglu,Ilker,24467768400,Ilker Hacihaliloglu
McIntosh,Anthony Randal,35465675000,Randy Mcintosh
Abolmaesumi,Purang,6602170125,Purang Abolmaesumi
Sossi,Vesna,56276238300,Vesna Sossi