Last Name,First Name,Author ID
Murphy,Timothy H.,7401632487
Ciernia,Annie Vogel,55491054000
MacVicar,Brian A.,7006717711
Vila-Rodriguez,Fidel,24279161600
Bamji,Shernaz X.,7005627810
Boyd,Lara A.,7101895712
Pavlidis,Paul,7004159655
McKeown,Martin,7005375626
Stoessl,A. Jon,7004896118
Cripton,P. A.,6603629883
Snyder,Jason S.,28167863900
Tetzlaff,Wolfram G.,7006262846
Phillips,Anthony G.,7401658611
Winstanley,Catharine A.,7005018303
Wang,YuTian,8908521300
Seamans,Jeremy Keith,7003907622
Snutch,Terrance P.,35408131500
Mackenzie,Ian,16407421900
Raymond,Lynn A.,7102737545
Haas,Kurt,55554765000
Cembrowski,Mark S.,37036981000
Rossi,Fabio,7401756510
Roskams,Angela Jane I.,55889287500
Rankin,Catharine,7007032941
Gordon,Michael D.,7402800449
Sigal,Leonid,7103067039
Wang,Z. Jane,11241026700
Servati,Peyman,6701751588
Galea,Liisa A. M.,7004079043
Frangou,Sophia,7004549374
Appel-Cresswell,Silke,36237882900
Rhodin,Helge,55860139200
Madhav,Manu S.,35146488900
Fisher,Brian,56363838400
Swayne,Leigh Anne,7004454250
Brown,Craig E.,7408311558
Fairhall,Adrienne L.,6602928622
Shea-Brown,Eric T.,15065850600
Sylwestrak,Emily Lauren,26634611400
Shih,Andy Y.,9239638800
Woodward,Todd Stephen,7102848867
LeDue,Jeffrey M.,56371437500
Hacihaliloglu,Ilker,24467768400
McIntosh,Anthony Randal,35465675000
Abolmaesumi,Purang,6602170125
Sossi,Vesna,56276238300